Pure Storage PowerShell SDK v2 to FlashArray Purity API Version Matrix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 09-2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
©Pure Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDK Cmdlet,API Version,Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.,..,APIClients,AbortQuiesce,Admin,AdminSettings,Alert,ApiToken,App,AppNames,ApplyRetention,Array,Command,Connection,CurrentStepId,Destroyed,DirectoryService,DirectoryServiceRoles,Dns,EndTime,Eula,ExposeApiToken,Filter,Flagged,GrantType,GroupIds,GroupNames,Hardware,Host,HostGroup,HostGroupNames,HostNames,Ids,Initialize,Keys,Kmip,Limit,LocalPodIds,LocalPodNames,MaintenanceWindow,MemberIds,MemberNames,Names,Namespaces,Offload,Offset,On,Overwrite,Pod,PodReplicaLink,PromoteFrom,ProtectionGroup,ProtectionGroupSnapshot,Protocol,ProtocolEndpointNames,ProtocolGroup,Quiesce,RemoteIds,RemoteNames,RemotePodIds,RemotePodNames,RemoteProtectionGroup,RemoteProtectionGroupSnapshot,RemoveAllEntries,Resolution,ResourceDestroyed,ResourceIds,ResourceNames,RoleNames,SkipQuiesce,SmiS,SoftwareIds,SoftwareInstallationIds,SoftwareInstallations,SoftwareNames,Sort,SourceIds,SourceNames,StartTime,SubjectToken,SubjectTokenType,Subnet,Support,Tag,Target,TestType,Timeout,TotalItemCount,TotalOnly,Truncate,Versions,Volume,VolumeGroup,VolumeNames,VolumeSnapshot,WithUnknown,XAuthToken
Get-Pfa2PodReplicaLink,2.2,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,2.2,,,,2.2,2.2,2.2,,,,,,,2.2,,,,,,,,,,,,2.2,2.2,2.2,2.2,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,2.2,,,,,,,,,
Get-Pfa2PodReplicaLinkLag,2.2,,,,,,,,,,,,,,,,,,2.2,,,2.2,,,,,,,,,,2.2,,,,2.2,2.2,2.2,,,,,,,2.2,,,,,,,,,,,,2.2,2.2,2.2,2.2,,,,2.2,,,,,,,,,,,2.2,,,2.2,,,,,,,,,2.2,,,,,,,,,
Get-Pfa2PodReplicaLinkPerformanceReplication,2.2,,,,,,,,,,,,,,,,,,2.2,,,2.2,,,,,,,,,,2.2,,,,2.2,2.2,2.2,,,,,,,2.2,,,,,,,,,,,,2.2,2.2,2.2,2.2,,,,2.2,,,,,,,,,,,2.2,,,2.2,,,,,,,,,2.2,2.2,,,,,,,,
Get-Pfa2PodSpace,2.1,,,,,,,,,,,,,,2.1,,,,2.1,,,2.1,,,,,,,,,,2.1,,,,2.1,,,,,,2.1,,,2.1,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,2.1,,,2.1,,,,,,,,,2.1,2.1,,,,,,,,
Get-Pfa2Port,2.2,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,2.2,,,,,,2.2,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,2.2,,,,,,,,,
Get-Pfa2PortInitiator,2.2,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,,,2.2,,,,,,2.2,,,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,,2.2,,,,,,,,,
Get-Pfa2ProtectionGroup,2.1,,,,,,,,,,,,,,2.1,,,,,,,2.1,,,,,,,,,,,,,,2.1,,,,,,2.1,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,2.1,,,,,,,,
Get-Pfa2ProtectionGroupHost,2.1,,,,,,,,,,,,,,,,,,,,,2.1,,,,2.1,,,,,,,,,,2.1,,,,,2.1,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,,,,,,,,,
Get-Pfa2ProtectionGroupHostGroup,2.1,,,,,,,,,,,,,,,,,,,,,2.1,,,,2.1,,,,,,,,,,2.1,,,,,2.1,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,,,,,,,,,
Get-Pfa2ProtectionGroupPerformanceReplication,2.1,,,,,,,,,,,,,,2.1,,,,2.1,,,2.1,,,,,,,,,,,,,,2.1,,,,,,2.1,,,2.1,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,2.1,,,2.1,,,,,,,,,2.1,,,,,,,,,
Get-Pfa2ProtectionGroupPerformanceReplicationByArray,2.1,,,,,,,,,,,,,,2.1,,,,2.1,,,2.1,,,,,,,,,,,,,,2.1,,,,,,2.1,,,2.1,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,2.1,,,2.1,,,,,,,,,2.1,,,,,,,,,
Get-Pfa2ProtectionGroupSnapshot,2.1,,,,,,,,,,,,,,2.1,,,,,,,2.1,,,,,,,,,,,,,,2.1,,,,,,2.1,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,2.1,,,,,,,,,,2.1,2.1,,,,,,,,
Get-Pfa2ProtectionGroupSnapshotTransfer,2.1,,,,,,,,,,,,,,2.1,,,,,,,2.1,,,,,,,,,,,,,,2.1,,,,,,2.1,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,2.1,,,,,,,,,,2.1,2.1,,,,,,,,
Get-Pfa2ProtectionGroupSpace,2.1,,,,,,,,,,,,,,2.1,,,,,,,2.1,,,,,,,,,,,,,,2.1,,,,,,2.1,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,,,,,,,,,
Get-Pfa2ProtectionGroupTarget,2.1,,,,,,,,,,,,,,,,,,,,,2.1,,,,2.1,,,,,,,,,,2.1,,,,,2.1,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,2.1,,,,,,,,,
